type_of_images,algorithm,numFeatures,width,height,distance,run_num,run_time,temperature,rvecs[0],rvecs[1],rvecs[2],tvecs[0],tvecs[1],tvecs[2]
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,45.06500005722046,62,-37.429068749848334,3.876627420009906,2.7454827000775315,-1.5365552618379361,1.4576510100176059,49.656448461486058
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,45.22699999809265,68,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,45.50600004196167,74,57.68553991753285,-40.6846706062165,3.4033474255490095,-0.32053690294079551,0.22010536783670578,31.985194592730281
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,45.777000188827515,80,76.841913824185255,29.795466734939147,-2.3772256353462367,-2.1550309740262485,2.5148538117011134,51.190424575352672
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,45.94800019264221,86,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,12,46.13100004196167,92,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,45.299999952316284,44,-38.24642606732894,1.7320594502514861,2.0206203955796727,-1.4116701370778959,1.4178322738693283,49.062630967879088
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,45.53999996185303,48,-37.471285128639003,4.3060921919608335,1.8508838046973561,-1.5805774490104847,1.4001845431787607,51.154934656889942
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,45.76799988746643,56,-39.210921659857533,1.6052804337021511,2.0469190961027643,-1.5022593550885488,1.3833499698335028,49.078507789057781
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,46.00599980354309,62,-35.652994170536232,3.337934959789171,2.880465351054013,-1.4527384188916932,1.4780146100519895,50.194576888150173
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,46.17699980735779,68,None,None,None,None,None,None
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,46.419999837875366,74,-37.355441092586489,1.0852330895803719,1.503206513999676,-1.6477616776338684,1.449267270981466,51.811037222797204
low_light_black_dot_pos_center,SIFT,1000,1280,720,41ft,13,46.72699999809265,80,0.0,0.0,0.0,0.0,0.0,0.0
